Altium Designer Pick and Place Locations
D:\Documents\Github\QuaiVatChoiDoAnLogicDesign\AltiumDesginForTrafficLight - Remake_2.0\Project Outputs for TrafficLight\Pick Place for TrafficLight.csv

========================================================================================================================
File Design Information:

Date:       13/04/23
Time:       09:00
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"SW3","Button","TopLayer","SW/4/06MM","13.7600","-28.6900","360","Tact switch 4-pin"
"SW2","Button","TopLayer","SW/4/06MM","4.4267","-28.6900","360","Tact switch 4-pin"
"SW1","Button","TopLayer","SW/4/06MM","-4.9067","-28.6900","360","Tact switch 4-pin"
"SW0","Button","TopLayer","SW/4/06MM","-14.2400","-28.6900","360","Tact switch 4-pin"
"R_B3","10k","TopLayer","R_0603","19.0000","-30.4000","270","Resistor"
"R_B2","10k","TopLayer","R_0603","9.5000","-30.4000","270","Resistor"
"REN3","4.7k","TopLayer","R_0603","21.2500","-7.7500","180","Resistor"
"REN2","4.7k","TopLayer","R_0603","21.2500","-12.0000","180","Resistor"
"REN1","4.7k","TopLayer","R_0603","21.2500","-14.5000","180","Resistor"
"REN0","4.7k","TopLayer","R_0603","21.2500","-16.7500","180","Resistor"
"R_B1","10k","TopLayer","R_0603","0.2500","-30.4000","270","Resistor"
"R_B0","10k","TopLayer","R_0603","-9.0000","-30.4000","270","Resistor"
"Q3","Transistor PNP","TopLayer","SOT-23","10.2500","-21.2500","90","PNP Bipolar Transistor"
"Q2","Transistor PNP","TopLayer","SOT-23","13.7500","-21.2500","90","PNP Bipolar Transistor"
"Q1","Transistor PNP","TopLayer","SOT-23","17.2500","-21.2500","90","PNP Bipolar Transistor"
"Q0","Transistor PNP","TopLayer","SOT-23","20.7500","-21.2500","90","PNP Bipolar Transistor"
"LED 7-SEG QUAD","LED 7-SEG QUAD","TopLayer","LED/7SEG/0.36/QUAD","-0.2500","10.7500","360","LED 7-SEG 0.56 QUAD RED"
"EN3","Led","TopLayer","Led_0603_-_red","-18.5000","5.2500","180","Typical LED"
"EN2","Led","TopLayer","Led_0603_-_red","-18.5000","9.0000","180","Typical LED"
"EN1","Led","TopLayer","Led_0603_-_red","-18.5000","12.7500","180","Typical LED"
"EN0","Led","TopLayer","Led_0603_-_red","-18.5000","16.5000","180","Typical LED"
